order,header,nonempty_rows,fill_rate,unique_nonempty,top_values_sample,classification,note
1,商品コード（楽天URL）,262,1.0,262,4542320580542 (1) | 4560342331614 (1) | 4571216260480 (1),core_runtime_input,毎回入力またはGAS確定
2,楽天商品番号,48,0.1832,48,4542320580542 (1) | 4560342331614 (1) | 4571216260480 (1),optional,必要時のみ
3,カテゴリ,261,0.9962,33,|217199| (67) | |213291| (40) | |215917| (26),core_runtime_input,毎回入力またはGAS確定
4,商品名,262,1.0,262,粉末宇治抹茶  送料無料 訳あり  お茶 健康 ギフト プレゼント 200g 天然生活 抹茶 粉末 茶道 業務用 ギフト ダイエット 濃茶 大容量 パウダー 抹茶パウダー 製菓用 お菓子用 (1) | ベーキングパウダー 風と光 40g (10g×4) 送料無料 アルミフリー 無添加 小分け 業務用 (1) | プチフィナンシェ＆プチチョコ 1000円ポッキリ 送料無料 訳あり スイーツ  スイーツ 焼き菓子 洋菓子 ギフト プレゼント フィナンシェ 30個 天然生活 個包装 ギフト 詰め合わせ お菓子 チョコ 訳あり バター プチ 大容量 業務用 (1),core_runtime_input,毎回入力またはGAS確定
5,楽天ジャンルID,262,1.0,129,205261 (25) | 214282 (10) | 214204 (10),core_runtime_input,毎回入力またはGAS確定
6,非製品属性タグID,0,0.0,0,,unused,
7,yahooプロダクトカテゴリ,262,1.0,114,37873 (25) | 14395 (19) | 41458 (11),optional,必要時のみ
8,キャッチコピー,69,0.2634,69,油あげ、わかめ、あさり、しじみ風味の定番みそ汁4種！ (1) | ピリ辛スープが旨い！本場盛岡冷麺の喉ごしをご家庭で。 (1) | つるっしこっメチャ旨！本場香川の讃岐うどん6食分。 (1),runtime_input,商品ごとに必要度高い
9,モバイルキャッチコピー,0,0.0,0,,unused,
10,販売価格,262,1.0,91,1000 (32) | 1980 (14) | 870 (14),core_runtime_input,毎回入力またはGAS確定
11,消費税,262,1.0,1,1 (262),fixed_value,固定値運用向き
12,消費税率,184,0.7023,2,8 (147) | 10 (37),used_other,
13,軽減税率,262,1.0,2,1 (187) | 0 (75),control_or_optional,商品種別/運用ルールに応じて入力
14,表示価格,262,1.0,6,-2 (255) | 2480 (2) | 2980 (2),control_or_optional,商品種別/運用ルールに応じて入力
15,送料,262,1.0,2,1 (254) | 0 (8),control_or_optional,商品種別/運用ルールに応じて入力
16,個別送料,262,1.0,1,0 (262),fixed_value,固定値運用向き
17,置き配指定,0,0.0,0,,unused,
18,倉庫指定,262,1.0,2,0 (253) | 1 (9),control_or_optional,商品種別/運用ルールに応じて入力
19,JANコード,140,0.5344,138,4571374984457 (2) | 4932395525737 (2) | 4560342331614 (1),runtime_input,商品ごとに必要度高い
20,ソーシャルギフト,0,0.0,0,,unused,
